,id,resolution,release_year,interaction_type,-log(kd/ki),binding_type,binding_affinity
295,1ing,2.4,1996,protein-ligand,,ic50,4.605170185988091
296,1qwf,,1996,protein-ligand,,kd,14.614018254182046
297,1nja,2.5,1996,protein-ligand,6.31,kd,14.528860445841739
298,1qwe,,1996,protein-ligand,,kd,13.633189001170319
299,1njb,2.74,1996,protein-ligand,,kd,13.345506928718539
300,1gaf,1.95,1996,protein-ligand,8.0,kd,18.420680743952367
301,1sts,1.95,1996,protein-ligand,,kd,11.512925464970229
302,1tsy,2.2,1996,protein-ligand,4.96,kd,11.417615285165903
303,1cea,2.06,1996,protein-ligand,,kd,11.417615285165903
304,1dar,2.4,1996,protein-ligand,4.96,kd,11.417615285165903
305,1slg,1.76,1996,protein-ligand,,kd,8.987196820661973
306,1lkk,1.0,1996,protein-ligand,6.85,kd,15.781623414337107
307,1lkl,1.8,1996,protein-ligand,5.81,kd,13.383728141538736
308,1tsv,2.9,1996,protein-ligand,,kd,11.042921835724492
309,1nje,2.3,1996,protein-ligand,3.8,kd,8.740336742730447
310,1str,1.8,1996,protein-ligand,4.77,kd,10.982297213908058
311,1ceb,2.07,1996,protein-ligand,6.0,kd,13.815510557964274
312,1njd,2.2,1996,protein-ligand,5.57,kd,12.822258784953991
313,1njc,2.5,1996,protein-ligand,5.55,kd,12.785891140783116
314,1mai,1.9,1996,protein-ligand,6.68,kd,15.376158306228943
315,1zsb,2.0,1996,protein-ligand,,kd,1.3862943611198906
316,1sld,2.5,1996,protein-ligand,6.57,kd,15.124843877948036
317,2olb,1.4,1996,protein-ligand,5.54,kd,12.750799820971846
318,1pot,1.8,1996,protein-ligand,5.49,kd,12.652359748158593
319,1btn,2.0,1996,protein-ligand,,kd,10.126631103850338
320,1det,1.8,1996,protein-ligand,4.3,kd,9.903487552536129
321,1kel,1.9,1996,protein-ligand,7.28,kd,16.772022118364983
322,1sle,2.0,1996,protein-ligand,,kd,14.215988124561399
323,1swi,2.6,1996,protein-ligand,,kd,7.1308988302963465
324,1cyn,1.85,1996,protein-ligand,,ki,17.678743399222988
325,1mmq,1.9,1996,protein-ligand,7.52,ki,17.322068455284256
326,2upj,3.0,1996,protein-ligand,,ki,17.0096937702421
327,1lhc,1.95,1996,protein-ligand,,ki,23.942141661814613
328,2csm,2.8,1996,protein-ligand,,ki,9.903487552536127
329,1grp,2.5,1996,protein-ligand,3.72,ki,8.573763542904631
330,1fmb,1.8,1996,protein-ligand,,ki,23.025850929940457
331,1sln,2.27,1996,protein-ligand,6.64,ki,15.285186528023216
332,1lhd,2.35,1996,protein-ligand,,ki,22.150382192586555
333,1lhe,2.25,1996,protein-ligand,,ki,21.96114019294803
334,1hsg,2.0,1996,protein-ligand,,ki,21.69084986320812
335,1hsh,1.9,1996,protein-ligand,9.42,ki,21.69084986320812
336,1igb,2.3,1996,protein-ligand,6.4,ki,14.73180128983843
337,1jrs,1.8,1996,protein-ligand,,ki,14.73180128983843
338,1aht,1.6,1996,protein-ligand,,ki,14.293546358907275
339,1mmp,2.3,1996,protein-ligand,,ki,13.978029487462049
340,1pbk,2.5,1996,protein-ligand,,ki,20.82862635260424
341,1jao,2.4,1996,protein-ligand,5.92,ki,13.633189001170319
342,1gai,1.7,1996,protein-ligand,8.0,ki,18.420680743952367
343,1tcx,2.3,1996,protein-ligand,6.95,ki,16.004766965651317
344,1cwb,2.2,1996,protein-ligand,,ki,18.158316479484874
345,1rdn,1.8,1996,protein-ligand,,ki,4.240527072400182
346,1amn,2.8,1996,protein-ligand,,ki,24.922970914826337
347,1dud,2.3,1996,protein-ligand,4.82,ki,11.107460356862065
348,1gah,2.0,1996,protein-ligand,,ki,20.72326583694641
349,1gno,2.3,1996,protein-ligand,7.7,ki,17.72753356339242
350,1rdj,1.8,1996,protein-ligand,,ki,3.830443018435723
351,1gnn,2.3,1996,protein-ligand,5.68,ki,13.073573213234896
352,1dif,1.7,1996,protein-ligand,10.66,ki,17.632223383588094
353,1bmn,2.8,1996,protein-ligand,,ki,19.442331991484348
354,1rev,2.6,1996,protein-ligand,,ki,17.22675827547993
355,1jaq,2.4,1996,protein-ligand,4.48,ki,10.319002996497794
356,2csn,2.5,1996,protein-ligand,4.41,ki,10.151948911834628
357,1mmr,2.4,1996,protein-ligand,5.4,ki,12.429216196844383
358,1mtr,1.75,1996,protein-ligand,8.4,ki,19.33697147582652
359,1hpx,2.0,1996,protein-ligand,11.26,ki,19.018517744707985
360,1rdl,1.7,1996,protein-ligand,,ki,5.1672891041416324
361,1gnm,2.3,1996,protein-ligand,6.25,ki,14.395329053217216
362,1pro,1.8,1996,protein-ligand,11.3,ki,19.11382792451231
363,1noi,2.5,1996,protein-ligand,,ki,7.264430222920869
364,1noj,2.4,1996,protein-ligand,,ki,7.264430222920869
365,1nok,2.4,1996,protein-ligand,,ki,7.264430222920869
366,1bmm,2.6,1996,protein-ligand,,ki,16.353817984479388
367,1lhg,2.25,1996,protein-ligand,,ki,16.353817984479388
368,1lhf,2.4,1996,protein-ligand,,ki,18.631401775268017
369,1rdi,1.8,1996,protein-ligand,,ki,4.733003557497976
370,1mdl,1.85,1996,protein-ligand,,ki,7.1184763102977895
371,1rnm,2.0,1996,protein-ligand,3.07,ki,7.077121124615876
372,1tcw,2.4,1996,protein-ligand,,ki,13.85633255248453
373,1fkw,2.4,1996,protein-ligand,5.05,ki,11.618285980628055
374,1kvo,2.0,1997,protein-ligand,,ic50,18.158316479484874
375,1tze,2.1,1997,protein-ligand,,ic50,15.726053563182296
376,1lt6,2.2,1997,protein-ligand,,ic50,7.600902459542082
377,1jlx,2.2,1997,protein-ligand,,ic50,13.345506928718539
378,1bkm,2.0,1997,protein-ligand,,ic50,13.227723893062155
379,2rox,2.0,1997,protein-ligand,,ic50,11.464135300800796
380,1jld,2.5,1997,protein-ligand,,ic50,15.502910011868087
381,1lt5,1.7,1997,protein-ligand,,ic50,6.214608098422191
382,1tvr,3.0,1997,protein-ligand,,ic50,17.22675827547993
383,1uwb,3.2,1997,protein-ligand,,ic50,19.19720953345136
384,1dth,2.0,1997,protein-ligand,,ic50,18.931506367718356
385,1rt2,2.55,1997,protein-ligand,,ic50,18.931506367718356
386,1aq1,2.0,1997,protein-ligand,,ic50,18.7773556878911
387,1rt1,2.55,1997,protein-ligand,,ic50,18.643824295266576
388,1avn,2.0,1997,protein-ligand,3.9,kd,8.987196820661973
389,1rbo,2.3,1997,protein-ligand,,kd,22.383997043768062
390,1drv,2.2,1997,protein-ligand,6.54,kd,15.05338491396589
391,1aqj,2.6,1997,protein-ligand,,kd,14.894320219336205
392,1bxl,,1997,protein-ligand,,kd,14.894320219336205
393,1okl,2.1,1997,protein-ligand,6.03,kd,13.88808125079911
394,1ao0,2.8,1997,protein-ligand,,kd,11.417615285165903
395,1nlp,,1997,protein-ligand,,kd,11.417615285165903
396,1avp,2.6,1997,protein-ligand,,kd,18.238359187158412
397,1jev,1.3,1997,protein-ligand,6.89,kd,15.85573138649083
398,1aj7,2.1,1997,protein-ligand,3.87,kd,8.910235779525845
399,1jeu,1.25,1997,protein-ligand,6.82,kd,15.712630542850155
400,1ag9,1.8,1997,protein-ligand,,kd,20.72326583694641
401,1ado,1.9,1997,protein-ligand,6.0,kd,13.815510557964274
402,2adm,2.6,1997,protein-ligand,,kd,13.122363377404328
403,1aqi,2.6,1997,protein-ligand,,kd,12.940041820610373
404,2h4n,1.9,1997,protein-ligand,8.7,kd,20.030118656386467
405,1nlo,,1997,protein-ligand,,kd,12.591735126342158
406,1gbq,,1997,protein-ligand,,kd,5.654992310486769
407,3gbq,,1997,protein-ligand,,kd,12.562747589468906
408,2mas,2.3,1997,protein-ligand,7.52,kd,17.322068455284256
409,1rst,1.7,1997,protein-ligand,,kd,10.20459264532005
410,1aqc,2.3,1997,protein-ligand,,kd,12.29818793443798
411,1shc,,1997,protein-ligand,,kd,16.75297392339429
412,1jet,1.2,1997,protein-ligand,7.25,kd,16.69791414621126
